項次,公司中文全名,型號,冷氣季節性能因數CSPF標示值,能源效率等級,額定冷氣能力標示值(kW),額定冷氣能力消耗電功率標示值(kW),冷氣機機組構成方式
2407,存宏有限公司,OCV-112SG,5.03,1,11.20,3.51,一對一分離式
2408,存宏有限公司,OCV-160SG,5.10,1,16.00,4.59,一對一分離式
2409,存宏有限公司,OCV-28HD,5.93,1,2.80,0.66,一對一分離式
2410,存宏有限公司,OCM-85HD,5.11,1,8.50,2.21,多管型系列組合分離式
2411,存宏有限公司,OCV-72AF,5.11,1,7.20,2.21,一對一分離式
2412,存宏有限公司,OCV-65RN,5.62,1,6.50,1.58,一對一分離式
2413,存宏有限公司,OCV-140SG,5.06,1,14.00,4.21,一對一分離式
2414,存宏有限公司,OCV-85HD,5.18,1,8.50,2.15,單體式
2415,存宏有限公司,OCV-50HD,5.38,1,5.00,1.40,一對一分離式
2416,存宏有限公司,OCV-28AF-C,6.06,1,2.80,0.61,一對一分離式
2417,存宏有限公司,OCV-41HD,5.40,1,4.10,1.08,一對一分離式
2418,存宏有限公司,OCV-36AF,5.95,1,3.60,0.85,一對一分離式
2419,存宏有限公司,OCV-28AF-H,5.93,1,2.80,0.61,一對一分離式
2420,存宏有限公司,OCV-63AF,5.33,1,6.30,1.78,一對一分離式
2421,存宏有限公司,OCV-36HD,5.94,1,3.60,0.82,一對一分離式
2422,存宏有限公司,OCV-73RN,5.51,1,7.30,2.03,一對一分離式
2423,宇暉科技股份有限公司,MVC-A50HB,5.33,1,5.00,1.37,一對一分離式
2424,宇暉科技股份有限公司,MVC-A71HD,5.11,1,7.20,1.89,一對一分離式
2425,宇暉科技股份有限公司,MVC-G28HA,5.93,1,2.80,0.65,一對一分離式
2426,宇暉科技股份有限公司,MVC-3A100HD,5.03,1,10.50,3.28,多管型系列組合分離式
2427,宇暉科技股份有限公司,MRH-50G2,5.33,1,5.20,1.39,一對一分離式
2428,宇暉科技股份有限公司,MVC-A85HD,5.11,1,8.50,2.37,一對一分離式
2429,宇暉科技股份有限公司,MRH-28G1,5.93,1,2.80,0.65,一對一分離式
2430,宇暉科技股份有限公司,MVC-A22HD,5.93,1,2.20,0.49,一對一分離式
2431,宇暉科技股份有限公司,MVC-A50HD,5.33,1,5.00,1.37,一對一分離式
2432,宇暉科技股份有限公司,MVC-G40HA,5.33,1,4.10,1.15,一對一分離式
2433,宇暉科技股份有限公司,MVC-G85HA,5.11,1,8.50,2.33,一對一分離式
2434,宇暉科技股份有限公司,MVC-2A65HD,5.33,1,6.50,1.79,多管型系列組合分離式
2435,宇暉科技股份有限公司,MRH-74G1,5.11,1,7.40,2.11,一對一分離式
2436,宇暉科技股份有限公司,MVC-A63HD,5.33,1,6.50,1.71,一對一分離式
2437,宇暉科技股份有限公司,MVC-A74HD,5.11,1,7.40,1.95,一對一分離式
2438,宇暉科技股份有限公司,MVC-G74HA,5.11,1,7.40,2.11,一對一分離式
2439,宇暉科技股份有限公司,MRH-28G2,5.93,1,2.80,0.65,一對一分離式
2440,宇暉科技股份有限公司,MRH-36G2,5.93,1,3.60,0.79,一對一分離式
2441,宇暉科技股份有限公司,MVC-4A130HB,5.03,1,13.00,4.43,多管型系列組合分離式
2442,宇暉科技股份有限公司,MVC-A85HB,5.11,1,8.50,2.37,一對一分離式
2443,宇暉科技股份有限公司,MVC-A28HB,5.93,1,2.80,0.68,一對一分離式
2444,宇暉科技股份有限公司,MVC-A63HB,5.33,1,6.50,1.71,一對一分離式
2445,宇暉科技股份有限公司,MRH-40G2,5.33,1,4.10,1.15,一對一分離式
2446,宇暉科技股份有限公司,MVC-2A74HB,5.11,1,7.40,2.12,多管型系列組合分離式
2447,宇暉科技股份有限公司,MVC-G22HA,5.93,1,2.30,0.50,一對一分離式
2448,宇暉科技股份有限公司,MVC-2A74HD,5.11,1,7.40,2.12,多管型系列組合分離式
2449,宇暉科技股份有限公司,MRH-74G2,5.11,1,7.40,2.11,一對一分離式
2450,宇暉科技股份有限公司,MVC-2A65HB,5.33,1,6.50,1.79,多管型系列組合分離式
2451,宇暉科技股份有限公司,MVC-3A85HB,5.11,1,8.50,2.21,多管型系列組合分離式
2452,宇暉科技股份有限公司,MVC-A40HB,5.33,1,4.10,1.08,一對一分離式
2453,宇暉科技股份有限公司,MVC-4A130HD,5.03,1,13.00,4.43,多管型系列組合分離式
2454,宇暉科技股份有限公司,MVC-3A100HB,5.03,1,10.50,3.28,多管型系列組合分離式
2455,宇暉科技股份有限公司,MVC-A22HB,5.93,1,2.20,0.49,一對一分離式
2456,宇暉科技股份有限公司,MVC-A74HB,5.11,1,7.40,1.95,一對一分離式
2457,宇暉科技股份有限公司,MVC-A40HD,5.33,1,4.10,1.08,一對一分離式
2458,宇暉科技股份有限公司,MVC-G50HA,5.33,1,5.20,1.39,一對一分離式
2459,宇暉科技股份有限公司,MRH-50G1,5.33,1,5.20,1.39,一對一分離式
2460,宇暉科技股份有限公司,MRH-85G2,5.11,1,8.50,2.33,一對一分離式
2461,宇暉科技股份有限公司,MVC-A36HB,5.93,1,3.60,0.88,一對一分離式
2462,宇暉科技股份有限公司,MVC-A28HD,5.93,1,2.80,0.68,一對一分離式
2463,宇暉科技股份有限公司,MVC-3A85HD,5.11,1,8.50,2.21,多管型系列組合分離式
2464,宇暉科技股份有限公司,MVC-G36HA,5.93,1,3.60,0.79,一對一分離式
2465,宇暉科技股份有限公司,MRH-85G1,5.11,1,8.50,2.33,一對一分離式
2466,宇暉科技股份有限公司,MVC-A71HB,5.11,1,7.20,1.89,一對一分離式
2467,宇暉科技股份有限公司,MRH-36G1,5.93,1,3.60,0.79,一對一分離式
2468,宇暉科技股份有限公司,MRH-40G1,5.33,1,4.10,1.15,一對一分離式
2469,宇暉科技股份有限公司,MVC-2A52HB,5.33,1,5.20,1.48,多管型系列組合分離式
2470,宇暉科技股份有限公司,MVC-A36HD,5.93,1,3.60,0.88,一對一分離式
2471,宇暉科技股份有限公司,MVC-2A52HD,5.33,1,5.20,1.48,多管型系列組合分離式
2472,宇暉科技股份有限公司,MRH-22G1,5.93,1,2.30,0.50,一對一分離式
2473,宇暉科技股份有限公司,MRH-22G2,5.93,1,2.30,0.50,一對一分離式
2474,宇暉科技股份有限公司,MVC-G63HA,5.33,1,6.50,1.71,一對一分離式
2475,百峰冷氣空調有限公司,SA-10AG,5.94,1,2.80,0.73,一對一分離式
2476,百峰冷氣空調有限公司,SA-14A,5.36,1,4.10,1.06,一對一分離式
2477,百峰冷氣空調有限公司,SAH-32AS,5.12,1,9.00,2.70,一對一分離式
2478,百峰冷氣空調有限公司,SA-40A,5.04,1,11.20,3.30,一對一分離式
2479,百峰冷氣空調有限公司,SD-50A,5.03,1,14.20,4.33,一對一分離式
2480,百峰冷氣空調有限公司,SAH-30A,5.12,1,8.50,2.50,一對一分離式
2481,百峰冷氣空調有限公司,SAH-36AS,5.04,1,10.10,3.45,一對一分離式
2482,百峰冷氣空調有限公司,SA-30A(C),5.11,1,9.40,3.00,多管型系列組合分離式
2483,百峰冷氣空調有限公司,SAH-50A,5.04,1,14.00,4.40,一對一分離式
2484,百峰冷氣空調有限公司,SA-10A,5.94,1,2.80,0.73,一對一分離式
2485,百峰冷氣空調有限公司,SA-50A,5.03,1,14.00,4.20,一對一分離式
2486,百峰冷氣空調有限公司,SAH-14AS,5.35,1,4.10,1.12,一對一分離式
2487,百峰冷氣空調有限公司,SAH-10AG,5.94,1,2.80,0.73,一對一分離式
2488,百峰冷氣空調有限公司,SAH-10AS,5.94,1,2.80,0.65,一對一分離式
2489,百峰冷氣空調有限公司,SAH-10A,5.94,1,2.80,0.73,一對一分離式
2490,百峰冷氣空調有限公司,SA-23A,5.35,1,6.50,1.77,一對一分離式
2491,百峰冷氣空調有限公司,SAH-23A,5.35,1,6.50,1.77,一對一分離式
2492,百峰冷氣空調有限公司,SA-26A,5.36,1,7.20,2.06,一對一分離式
2493,百峰冷氣空調有限公司,SAH-28AS,5.12,1,8.00,2.35,一對一分離式
2494,百峰冷氣空調有限公司,SA-18A,5.34,1,5.00,1.29,一對一分離式
2495,百峰冷氣空調有限公司,SAH-23AS,5.12,1,7.20,2.10,一對一分離式
2496,百峰冷氣空調有限公司,SA-22A(B),5.11,1,7.20,2.25,多管型系列組合分離式
2497,百峰冷氣空調有限公司,SAH-18AS,5.34,1,5.00,1.32,一對一分離式
2498,百峰冷氣空調有限公司,SAH-22A(B),5.11,1,7.20,2.25,多管型系列組合分離式
2499,百峰冷氣空調有限公司,SAH-13AS,5.95,1,3.60,0.95,一對一分離式
2500,百峰冷氣空調有限公司,SAH-40A,5.04,1,11.20,3.30,一對一分離式
2501,百峰冷氣空調有限公司,SAH-30AS,5.14,1,8.50,2.60,一對一分離式
2502,百峰冷氣空調有限公司,SA-30A,5.12,1,8.50,2.50,一對一分離式
2503,百峰冷氣空調有限公司,SM-50A,5.03,1,14.00,4.20,一對一分離式
2504,百峰冷氣空調有限公司,SAH-26AS,5.12,1,7.20,2.10,一對一分離式
2505,百峰冷氣空調有限公司,SAH-30A(C),5.11,1,9.40,3.00,多管型系列組合分離式
2506,艾普頓企業股份有限公司,ACU-42TVR,5.33,1,4.10,1.08,一對一分離式
2507,艾普頓企業股份有限公司,ACU-51TMVR,5.33,1,5.20,1.48,多管型系列組合分離式
2508,艾普頓企業股份有限公司,ACU-70TVR,5.11,1,7.20,1.89,一對一分離式
2509,艾普頓企業股份有限公司,ACU-100TMVR,5.03,1,10.50,3.28,多管型系列組合分離式
2510,艾普頓企業股份有限公司,ACU-140GVR,5.03,1,14.00,4.20,一對一分離式
2511,艾普頓企業股份有限公司,ACU-130TMVR,5.03,1,13.00,4.43,多管型系列組合分離式
2512,艾普頓企業股份有限公司,ACU-65TVR,5.33,1,6.50,1.71,一對一分離式
2513,艾普頓企業股份有限公司,ACU-140GVR1,5.03,1,14.20,4.33,一對一分離式
2514,艾普頓企業股份有限公司,ACU-140GVRL1,5.03,1,14.00,4.20,一對一分離式
2515,艾普頓企業股份有限公司,ACU-73TVR,5.11,1,7.40,1.95,一對一分離式
2516,艾普頓企業股份有限公司,ACU-22TVR,5.93,1,2.20,0.49,一對一分離式
2517,艾普頓企業股份有限公司,ACU-85TMVR,5.11,1,8.50,2.21,多管型系列組合分離式
2518,艾普頓企業股份有限公司,ACU-36TVR,5.93,1,3.60,0.88,一對一分離式
2519,艾普頓企業股份有限公司,ACU-65TMVR,5.33,1,6.50,1.79,多管型系列組合分離式
2520,艾普頓企業股份有限公司,ACU-74TMVR,5.11,1,7.40,2.12,多管型系列組合分離式
2521,艾普頓企業股份有限公司,ACU-28TVR,5.93,1,2.80,0.68,一對一分離式
2522,艾普頓企業股份有限公司,ACU-51TVR,5.33,1,5.00,1.37,一對一分離式
2523,艾普頓企業股份有限公司,ACU-85TVR,5.11,1,8.50,2.37,一對一分離式
2524,呈堡企業有限公司,FOR-351HA,5.33,1,4.20,1.30,一對一分離式
2525,呈堡企業有限公司,FOR-321HA,5.93,1,3.60,0.95,一對一分離式
2526,呈堡企業有限公司,FOR-251HA,5.93,1,2.90,0.70,一對一分離式
2527,呈堡企業有限公司,FOR-42HS,5.38,1,4.20,0.98,一對一分離式
2528,呈堡企業有限公司,FOR-52HS1,5.33,1,5.00,1.20,一對一分離式
2529,呈堡企業有限公司,FOR-148CS,5.03,1,14.00,4.20,一對一分離式
2530,呈堡企業有限公司,FOR-36HS,5.93,1,3.60,0.86,一對一分離式
2531,呈堡企業有限公司,FOR-29HS,5.94,1,2.80,0.64,一對一分離式
2532,呈堡企業有限公司,FOR-73HS,5.12,1,7.30,2.05,一對一分離式
2533,呈堡企業有限公司,FOR-52HS,5.33,1,5.00,1.20,一對一分離式
2534,呈堡企業有限公司,FOR-451HA,5.33,1,5.20,1.50,一對一分離式
2535,沃福仕股份有限公司,DSA-F2483JLH-VO,5.18,1,7.20,2.00,一對一分離式
2536,沃福仕股份有限公司,DSA-F0983JLH-VO,6.09,1,2.80,0.67,一對一分離式
2537,沃福仕股份有限公司,DSA-F1783JLH-VO,5.85,1,5.00,1.29,一對一分離式
2538,沃福仕股份有限公司,DSA-F1483JLH-VO,5.74,1,4.20,1.08,一對一分離式
2539,沃福仕股份有限公司,DSA-F1283JLH-VO,5.96,1,3.60,0.86,一對一分離式
2540,良峰塑膠機械股份有限公司,FXO-M502CF,5.60,1,5.00,1.35,一對一分離式
2541,良峰塑膠機械股份有限公司,FXO-M282HF,6.60,1,2.80,0.66,一對一分離式
2542,良峰塑膠機械股份有限公司,FXO-412CM,5.80,1,4.10,1.05,一對一分離式
2543,良峰塑膠機械股份有限公司,FXO-M562CF,5.60,1,5.00,1.35,一對一分離式
2544,良峰塑膠機械股份有限公司,FXO-232CM,6.00,1,2.30,0.54,一對一分離式
2545,良峰塑膠機械股份有限公司,FXO-502HM,5.80,1,5.00,1.25,一對一分離式
2546,良峰塑膠機械股份有限公司,FXO-412HM,5.80,1,4.10,1.05,一對一分離式
2547,良峰塑膠機械股份有限公司,FXO-M412CF,5.50,1,4.10,1.04,一對一分離式
2548,良峰塑膠機械股份有限公司,FXO-232HM,6.00,1,2.30,0.54,一對一分離式
2549,良峰塑膠機械股份有限公司,FXO-M852CF,5.40,1,8.50,2.36,一對一分離式
2550,良峰塑膠機械股份有限公司,FXO-722CM,5.36,1,7.20,1.97,一對一分離式
2551,良峰塑膠機械股份有限公司,FXO-M362CF,6.20,1,3.60,0.81,一對一分離式
2552,良峰塑膠機械股份有限公司,FXO-M722CF,5.40,1,7.20,1.97,一對一分離式
2553,良峰塑膠機械股份有限公司,FXO-362HM,6.00,1,3.60,0.86,一對一分離式
2554,良峰塑膠機械股份有限公司,FXO-362CM,6.00,1,3.60,0.86,一對一分離式
2555,良峰塑膠機械股份有限公司,FXO-502CM,5.80,1,5.00,1.25,一對一分離式
2556,良峰塑膠機械股份有限公司,FXO-M852HF,5.40,1,8.50,2.36,一對一分離式
2557,良峰塑膠機械股份有限公司,FXO-M362HF,6.20,1,3.60,0.81,一對一分離式
2558,良峰塑膠機械股份有限公司,FXO-722HM,5.36,1,7.20,1.97,一對一分離式
2559,良峰塑膠機械股份有限公司,FXO-M902CF,5.40,1,9.00,2.48,一對一分離式
2560,良峰塑膠機械股份有限公司,FXO-M502HF,5.60,1,5.00,1.35,一對一分離式
2561,良峰塑膠機械股份有限公司,FXO-M562HF,5.60,1,5.00,1.35,一對一分離式
2562,良峰塑膠機械股份有限公司,FXO-M902HF,5.40,1,9.00,2.48,一對一分離式
2563,良峰塑膠機械股份有限公司,FXO-282CM,6.00,1,2.80,0.67,一對一分離式
2564,良峰塑膠機械股份有限公司,FXO-M282CF,6.60,1,2.80,0.66,一對一分離式
2565,良峰塑膠機械股份有限公司,FXO-M412HF,5.50,1,4.10,1.04,一對一分離式
2566,良峰塑膠機械股份有限公司,FXO-282HM,6.00,1,2.80,0.67,一對一分離式
2567,良峰塑膠機械股份有限公司,FXO-M722HF,5.40,1,7.20,1.97,一對一分離式
2568,京禾科技家電有限公司,CHM-90DC,5.12,1,9.00,2.53,一對一分離式
2569,京禾科技家電有限公司,CHM-80DC,5.14,1,8.00,2.28,一對一分離式
2570,京禾科技家電有限公司,CHM-36DC1,5.94,1,3.60,0.89,一對一分離式
2571,京禾科技家電有限公司,CHM-28DC1,5.94,1,2.80,0.67,一對一分離式
2572,京禾科技家電有限公司,CHM-72DC1,5.12,1,7.20,2.29,一對一分離式
2573,京禾科技家電有限公司,CHM-63DC1,5.36,1,6.30,1.70,一對一分離式
2574,京禾科技家電有限公司,CHM-50DC1,5.35,1,5.00,1.39,一對一分離式
2575,京禾科技家電有限公司,CHM-50DC,5.34,1,5.00,1.22,一對一分離式
2576,京禾科技家電有限公司,CHM-65DC,5.35,1,6.50,1.75,一對一分離式
2577,京禾科技家電有限公司,CHM-42DC,5.34,1,4.20,1.07,一對一分離式
2578,京禾科技家電有限公司,CHM-72DC,5.15,1,7.20,2.05,一對一分離式
2579,京禾科技家電有限公司,CHM-42DC1,5.68,1,4.20,1.05,一對一分離式
2580,和泰興業股份有限公司,RXM63NVLT,5.40,1,6.30,1.62,一對一分離式
2581,和泰興業股份有限公司,RXYQ10TYLTE,5.42,1,28.00,8.30,幹管型系列組合分離式
2582,和泰興業股份有限公司,RQYQ10TYLT,5.29,1,28.00,8.01,幹管型系列組合分離式
2583,和泰興業股份有限公司,2MXM56RVLT,5.63,1,5.60,1.37,多管型系列組合分離式
2584,和泰興業股份有限公司,RXM71RVLT,5.68,1,7.20,1.78,一對一分離式
2585,和泰興業股份有限公司,RXM22NVLT,6.16,1,2.20,0.39,一對一分離式
2586,和泰興業股份有限公司,RZF140CYLT,5.04,1,14.00,4.80,一對一分離式
2587,和泰興業股份有限公司,RXM22SVLT,6.31,1,2.20,0.39,一對一分離式
2588,和泰興業股份有限公司,RXV50SVLT,5.43,1,5.00,1.24,一對一分離式
2589,和泰興業股份有限公司,RZAC100DYLT,5.53,1,10.10,2.86,一對一分離式
2590,和泰興業股份有限公司,2MXP50TVLT,5.55,1,5.00,1.61,多管型系列組合分離式
2591,和泰興業股份有限公司,RHF40RVLT,5.96,1,4.00,0.95,一對一分離式
2592,和泰興業股份有限公司, RZF100CVLT,5.35,1,10.10,2.88,一對一分離式
2593,和泰興業股份有限公司,RXYCQ4AVET,5.63,1,11.20,3.47,幹管型系列組合分離式
2594,和泰興業股份有限公司,RXYMQ10TTLT,5.04,1,25.00,7.80,幹管型系列組合分離式
2595,和泰興業股份有限公司,RXV90SVLT,5.27,1,8.70,2.35,一對一分離式
2596,和泰興業股份有限公司,RHP40HVLT,5.96,1,4.00,0.95,一對一分離式
2597,和泰興業股份有限公司,RXV41NVLT,5.58,1,4.10,0.95,一對一分離式
2598,和泰興業股份有限公司,RZF140CTLT,5.04,1,14.00,4.80,一對一分離式
2599,和泰興業股份有限公司,RXM41SVLT,6.22,1,4.10,0.92,一對一分離式
2600,和泰興業股份有限公司,RXV28NVLT,5.94,1,2.80,0.59,一對一分離式
2601,和泰興業股份有限公司,RXV80SVLT,5.35,1,8.00,2.07,一對一分離式
2602,和泰興業股份有限公司,RZF140CVLT,5.04,1,14.00,4.80,一對一分離式
2603,和泰興業股份有限公司,RXV50UVLT,5.85,1,5.00,1.34,一對一分離式
2604,和泰興業股份有限公司,RXV41UVLT,6.00,1,4.10,0.94,一對一分離式
2605,和泰興業股份有限公司,RXYQ8AYLT,5.89,1,22.40,5.65,幹管型系列組合分離式
2606,和泰興業股份有限公司,RXV36NVLT,5.95,1,3.50,0.86,一對一分離式
2607,和泰興業股份有限公司,RXV60UVLT,5.70,1,6.00,1.67,一對一分離式
2608,和泰興業股份有限公司,RZAC125DVLT,5.32,1,12.50,3.75,一對一分離式
2609,和泰興業股份有限公司,RZAC125DYLT,5.32,1,12.50,3.75,一對一分離式
2610,和泰興業股份有限公司,RXV28SVLT,5.96,1,2.80,0.65,一對一分離式
2611,和泰興業股份有限公司,RZF125CYLT,5.10,1,12.50,4.00,一對一分離式
2612,和泰興業股份有限公司,RXV41RVLT,5.58,1,4.10,0.95,一對一分離式
2613,和泰興業股份有限公司,RXM71NVLT,5.68,1,7.20,1.78,一對一分離式
2614,和泰興業股份有限公司,RXV28RVLT,5.96,1,2.80,0.65,一對一分離式
2615,和泰興業股份有限公司,RXM80NVLT,5.35,1,8.00,2.07,一對一分離式
2616,和泰興業股份有限公司,RHP50HVLT,5.63,1,5.00,1.31,一對一分離式
2617,和泰興業股份有限公司,RZQ71KCVLT,5.47,1,7.20,2.07,一對一分離式
2618,和泰興業股份有限公司,RWEYQ8PYLT,5.66,1,22.40,4.82,幹管型系列組合分離式
2619,和泰興業股份有限公司,RXV41SVLT,5.58,1,4.10,0.95,一對一分離式
2620,和泰興業股份有限公司,RXV22UVLT,6.66,1,2.20,0.46,一對一分離式
2621,和泰興業股份有限公司,RZF100CTLT,5.35,1,10.10,2.88,一對一分離式
2622,和泰興業股份有限公司,RXYQ14AYLT,5.33,1,40.00,12.08,幹管型系列組合分離式
2623,和泰興業股份有限公司,RZAC140DYLT,5.15,1,14.00,4.70,一對一分離式
2624,和泰興業股份有限公司,RZAC71DVLT,6.01,1,7.20,1.88,一對一分離式
2625,和泰興業股份有限公司,RXQ12AYLT,5.56,1,33.50,9.26,幹管型系列組合分離式
2626,和泰興業股份有限公司,RXQ20AYLT,5.11,1,54.00,16.24,幹管型系列組合分離式
2627,和泰興業股份有限公司,RXM60SVLT,5.65,1,6.30,1.77,一對一分離式
2628,和泰興業股份有限公司,RXM50RVLT,5.88,1,5.00,1.18,一對一分離式
2629,和泰興業股份有限公司,4MXM110PVLT,5.51,1,10.50,2.91,多管型系列組合分離式
2630,和泰興業股份有限公司,RXV60RVLT,5.47,1,6.00,1.55,一對一分離式
2631,和泰興業股份有限公司,RXYMQ8TTLT,5.20,1,22.40,6.30,幹管型系列組合分離式
2632,和泰興業股份有限公司,RXYQ16AYLT,5.25,1,45.00,13.92,幹管型系列組合分離式
2633,和泰興業股份有限公司,2MXM75PVLT,5.52,1,7.20,2.00,多管型系列組合分離式
2634,和泰興業股份有限公司,RXM90RVLT,5.27,1,8.70,2.35,一對一分離式
2635,和泰興業股份有限公司,RXM36SVLT,6.52,1,3.50,0.79,一對一分離式
2636,和泰興業股份有限公司,RXM22RVLT,6.16,1,2.20,0.39,一對一分離式
2637,和泰興業股份有限公司,2MXM75RVLT,5.52,1,7.20,2.00,多管型系列組合分離式
2638,和泰興業股份有限公司,RXV60SVLT,5.47,1,6.00,1.55,一對一分離式
2639,和泰興業股份有限公司,RXYQ20AYLT,5.11,1,54.00,16.50,幹管型系列組合分離式
2640,和泰興業股份有限公司,RXV36SVLT,6.52,1,3.50,0.79,一對一分離式
2641,和泰興業股份有限公司,RXV63NVLT,5.47,1,6.00,1.55,一對一分離式
2642,和泰興業股份有限公司,RXYQ6TYLT,5.17,1,16.00,4.23,幹管型系列組合分離式
2643,和泰興業股份有限公司,RXYQ6TYLTE,5.17,1,16.00,4.23,幹管型系列組合分離式
2644,和泰興業股份有限公司,RXYMQ6TVET,5.18,1,15.50,4.35,幹管型系列組合分離式
2645,和泰興業股份有限公司,RXM28RVLT,6.75,1,2.80,0.55,一對一分離式
2646,和泰興業股份有限公司,RZF71CVLT,5.92,1,7.20,1.90,一對一分離式
2647,和泰興業股份有限公司,RZAC125DTLT,5.32,1,12.50,3.75,一對一分離式
2648,和泰興業股份有限公司,RZF125CTLT,5.10,1,12.50,4.00,一對一分離式
2649,和泰興業股份有限公司,RXM41RVLT,6.15,1,4.10,0.89,一對一分離式
2650,和泰興業股份有限公司,RHF20RVLT,5.98,1,2.20,0.52,一對一分離式
2651,和泰興業股份有限公司,4MXM110RVLT,5.51,1,10.50,2.91,多管型系列組合分離式
2652,和泰興業股份有限公司,RZAC100DTLT,5.53,1,10.10,2.86,一對一分離式
2653,和泰興業股份有限公司,RXYQ12AYLT,5.38,1,33.50,9.97,幹管型系列組合分離式
2654,和泰興業股份有限公司,RXYCQ6AVET,6.12,1,14.00,4.21,幹管型系列組合分離式
2655,和泰興業股份有限公司,RHF50RVLT,5.63,1,5.00,1.31,一對一分離式
2656,和泰興業股份有限公司,RXM71SVLT,5.24,1,7.20,2.15,一對一分離式
2657,和泰興業股份有限公司,3MXM90RVLT,5.71,1,8.50,2.33,多管型系列組合分離式
2658,和泰興業股份有限公司,RXV22SVLT,6.03,1,2.20,0.45,一對一分離式
2659,和泰興業股份有限公司,RHF71RVLT,5.11,1,7.20,2.23,一對一分離式
2660,和泰興業股份有限公司,RXYCQ5AVET,6.16,1,12.50,3.34,幹管型系列組合分離式
2661,和泰興業股份有限公司,RQYQ16TYLT,5.04,1,45.00,13.40,幹管型系列組合分離式
2662,和泰興業股份有限公司,RXQ16AYLT,5.69,1,45.00,12.15,幹管型系列組合分離式
2663,和泰興業股份有限公司,RZAC100DVLT,5.61,1,10.40,2.86,一對一分離式
2664,和泰興業股份有限公司,RZAC140DTLT,5.15,1,14.00,4.70,一對一分離式
2665,和泰興業股份有限公司,RXV28UVLT,6.12,1,2.80,0.62,一對一分離式
2666,和泰興業股份有限公司,RXM50SVLT,5.98,1,5.00,1.27,一對一分離式
2667,和泰興業股份有限公司,3MXM90PVLT,5.71,1,8.50,2.33,多管型系列組合分離式
2668,和泰興業股份有限公司,RXYQ10TYLT,5.42,1,28.00,8.30,幹管型系列組合分離式
2669,和泰興業股份有限公司,RZAC140DVLT,5.15,1,14.00,4.70,一對一分離式
2670,和泰興業股份有限公司,RXYQ8TYLTE,5.71,1,22.40,6.15,幹管型系列組合分離式
2671,和泰興業股份有限公司,2MXM56PVLT,5.63,1,5.60,1.37,多管型系列組合分離式
2672,和泰興業股份有限公司,RXV71UVLT,5.20,1,7.20,2.18,一對一分離式
2673,和泰興業股份有限公司,RXV50NVLT,5.43,1,5.00,1.24,一對一分離式
2674,和泰興業股份有限公司,RXM28SVLT,6.75,1,2.80,0.54,一對一分離式
2675,和泰興業股份有限公司,RXV71SVLT,5.14,1,7.20,2.10,一對一分離式
2676,和泰興業股份有限公司,RXYQ10AYLT,5.62,1,28.00,7.09,幹管型系列組合分離式
2677,和泰興業股份有限公司,RXM36NVLT,6.52,1,3.50,0.79,一對一分離式
2678,和泰興業股份有限公司,RXM41NVLT,6.15,1,4.10,0.89,一對一分離式
2679,和泰興業股份有限公司,RXV50RVLT,5.43,1,5.00,1.24,一對一分離式
2680,和泰興業股份有限公司,RZF125CVLT,5.10,1,12.50,4.00,一對一分離式
2681,和泰興業股份有限公司,RHF25RVLT,5.94,1,2.50,0.59,一對一分離式
2682,和泰興業股份有限公司,RXM80RVLT,5.35,1,8.00,2.07,一對一分離式
2683,和泰興業股份有限公司,RXV22NVLT,5.98,1,2.20,0.42,一對一分離式
2684,和泰興業股份有限公司,RXYQ18AYLT,5.27,1,50.00,15.07,幹管型系列組合分離式
2685,和泰興業股份有限公司,RZF100CYLT,5.35,1,10.10,2.88,一對一分離式
2686,和泰興業股份有限公司,RXV36UVLT,6.52,1,3.50,0.79,一對一分離式
2687,和泰興業股份有限公司,RXM28NVLT,6.75,1,2.80,0.55,一對一分離式
2688,和泰興業股份有限公司,RXM90NVLT,5.27,1,8.70,2.35,一對一分離式
2689,和泰興業股份有限公司,RXV36RVLT,6.52,1,3.50,0.79,一對一分離式
2690,和泰興業股份有限公司,RXV22RVLT,6.03,1,2.20,0.45,一對一分離式
2691,和泰興業股份有限公司,RXM60RVLT,5.47,1,6.00,1.55,一對一分離式
2692,和泰興業股份有限公司,RXM50NVLT,5.88,1,5.00,1.18,一對一分離式
2693,和泰興業股份有限公司,RHF60RVLT,5.34,1,6.00,1.78,一對一分離式
2694,和泰興業股份有限公司,RXYQ8TYLT,5.71,1,22.40,6.15,幹管型系列組合分離式
2695,和泰興業股份有限公司,RXM36RVLT,6.52,1,3.50,0.79,一對一分離式
2696,東元電機股份有限公司,PACV-Z280SFH-D46,5.03,1,28.00,8.89,幹管型系列組合分離式
2697,東元電機股份有限公司,PACU-K112BF,5.32,1,11.20,2.92,幹管型系列組合分離式
2698,東元電機股份有限公司,PACS-K100CF,5.34,1,10.00,2.56,幹管型系列組合分離式
2699,東元電機股份有限公司,PACU-K150SFH-P,5.75,1,15.00,3.75,幹管型系列組合分離式
2700,東元電機股份有限公司,PACU-K150SF,5.75,1,15.00,3.75,幹管型系列組合分離式
2701,東元電機股份有限公司,PACS-K160SFH-P,5.66,1,16.00,4.16,幹管型系列組合分離式
2702,東元電機股份有限公司,PAX-K140BFH,5.06,1,14.00,4.26,幹管型系列組合分離式
2703,東元電機股份有限公司,PACU-K146BF-P,5.75,1,14.60,3.66,幹管型系列組合分離式
2704,東元電機股份有限公司,PACU-K160BF-P,5.66,1,16.00,4.16,幹管型系列組合分離式
