項次,公司中文全名,型號,冷氣季節性能因數CSPF標示值,能源效率等級,額定冷氣能力標示值(kW),額定冷氣能力消耗電功率標示值(kW),冷氣機機組構成方式
71,上洋產業股份有限公司,FDC335KXZE1TX,5.42,1,33.50,9.71,幹管型系列組合分離式
72,上洋產業股份有限公司,DXM100ZMT-S,5.21,1,10.00,2.86,多管型系列組合分離式
73,上洋產業股份有限公司,DXC50ZST-W,5.51,1,5.00,1.35,一對一分離式
74,上洋產業股份有限公司,DXC60ZSXT-W,5.56,1,6.10,1.71,一對一分離式
75,上洋產業股份有限公司,FDC140VNAT,5.03,1,13.60,4.22,幹管型系列組合分離式
76,上洋產業股份有限公司,FDC200VSAT,5.20,1,19.00,6.25,幹管型系列組合分離式
77,上洋產業股份有限公司,FDC100VSAT,5.37,1,10.00,2.82,幹管型系列組合分離式
78,上洋產業股份有限公司,FDC280KXZE1TX,5.59,1,28.00,7.47,幹管型系列組合分離式
79,上洋產業股份有限公司,FDC100VSXT,5.55,1,10.00,2.56,幹管型系列組合分離式
80,上洋產業股份有限公司,DXC50ZMXT-S,5.40,1,5.00,1.30,一對一分離式
81,上洋產業股份有限公司,FDC100VNXT,5.55,1,10.00,2.56,幹管型系列組合分離式
82,上洋產業股份有限公司,DXC71ZRT-W,5.70,1,7.20,1.93,一對一分離式
83,上洋產業股份有限公司,FDC100VNAT,5.33,1,10.00,2.82,幹管型系列組合分離式
84,上洋產業股份有限公司,DXC35YVST-W,6.25,1,3.50,0.84,一對一分離式
85,上洋產業股份有限公司,FDC250VSAT,5.03,1,24.00,8.00,幹管型系列組合分離式
86,上洋產業股份有限公司,DXC80ZRT-W,5.57,1,8.00,2.09,一對一分離式
87,上洋產業股份有限公司,FDC140KXZEN1T3,5.04,1,14.00,4.33,幹管型系列組合分離式
88,上洋產業股份有限公司,DXC41ZSXT-W,6.76,1,4.10,0.94,一對一分離式
89,上洋產業股份有限公司,DXC25ZSXT-W,7.64,1,2.50,0.43,一對一分離式
90,上洋產業股份有限公司,FDC125VNXT,5.76,1,12.50,3.10,幹管型系列組合分離式
91,上洋產業股份有限公司,FDC450KXZE1TX,5.04,1,45.00,14.90,幹管型系列組合分離式
92,上洋產業股份有限公司,FDC140VNXT,5.25,1,14.00,3.76,幹管型系列組合分離式
93,上洋產業股份有限公司,FDC140VSAT,5.03,1,13.60,4.22,幹管型系列組合分離式
94,上洋產業股份有限公司,DXC25YVST-W,6.68,1,2.50,0.51,一對一分離式
95,上洋產業股份有限公司,FDC125VSAT,5.40,1,12.50,3.79,幹管型系列組合分離式
96,上洋產業股份有限公司,DXC35ZMXT-S,6.37,1,3.50,0.85,一對一分離式
97,上洋產業股份有限公司,DXM60ZMT-S1,5.77,1,6.00,1.47,多管型系列組合分離式
98,上菱工業股份有限公司,FDC475KXZE1T2,5.04,1,47.50,13.80,幹管型系列組合分離式
99,上菱工業股份有限公司,FDC450KXZE1T2,5.04,1,45.00,14.90,幹管型系列組合分離式
100,上菱工業股份有限公司,FDC335KXZE1T2,5.42,1,33.50,9.71,幹管型系列組合分離式
101,上菱工業股份有限公司,SCM60ZMT-S1,5.85,1,6.00,1.47,多管型系列組合分離式
102,上菱工業股份有限公司,FDC280KXZPE1T2,5.16,1,28.00,8.04,幹管型系列組合分離式
103,上菱工業股份有限公司,FDC400KXZE1T2,5.20,1,40.00,11.40,幹管型系列組合分離式
104,上菱工業股份有限公司,FDC280KXZE1T2,5.59,1,28.00,7.47,幹管型系列組合分離式
